kohde,jasen,pvknro,sp,IKAL1,ASALUE,V1,V21,V22,V5,H1a_A,H1b_A
50769,2,1,2,4,2.0,0.0,230.0,20.0,110.0,2.0,2.0
50769,2,2,2,4,2.0,0.0,180.0,30.0,90.0,2.0,2.0
50787,1,1,1,7,1.0,0.0,0.0,0.0,60.0,2.0,2.0
50788,1,1,2,7,1.0,60.0,0.0,0.0,40.0,1.0,1.0
50788,1,2,2,7,1.0,0.0,0.0,0.0,30.0,1.0,1.0
50795,2,1,2,4,1.0,300.0,0.0,0.0,0.0,1.0,1.0
50795,2,2,2,4,1.0,0.0,0.0,0.0,0.0,1.0,1.0
50800,1,1,1,5,2.0,0.0,0.0,0.0,,2.0,2.0
50800,1,2,1,5,2.0,630.0,0.0,0.0,30.0,2.0,2.0
50801,2,1,1,5,2.0,500.0,20.0,0.0,30.0,1.0,2.0
50801,2,2,1,5,2.0,0.0,20.0,0.0,100.0,1.0,2.0
50803,1,1,1,7,1.0,0.0,0.0,0.0,0.0,2.0,1.0
50803,1,2,1,7,1.0,0.0,0.0,0.0,0.0,2.0,1.0
50811,1,1,2,7,1.0,400.0,0.0,0.0,20.0,2.0,
50811,1,2,2,7,1.0,,0.0,0.0,30.0,2.0,1.0
50815,2,1,1,6,1.0,,,,,2.0,2.0
50815,2,2,1,6,1.0,,,,,2.0,2.0
50826,1,1,2,7,1.0,0.0,0.0,0.0,40.0,2.0,1.0
50826,1,2,2,7,1.0,0.0,0.0,0.0,40.0,2.0,1.0
50834,2,1,2,7,1.0,300.0,0.0,0.0,90.0,2.0,2.0
50834,2,2,2,7,1.0,400.0,0.0,0.0,30.0,2.0,2.0
50844,1,1,1,7,1.0,0.0,0.0,0.0,10.0,2.0,2.0
50844,1,2,1,7,1.0,0.0,0.0,0.0,20.0,2.0,2.0
50846,1,1,1,3,1.0,,,,,1.0,1.0
50846,1,2,1,3,1.0,,,,,1.0,1.0
50860,1,1,1,7,1.0,0.0,0.0,0.0,30.0,1.0,2.0
50860,1,2,1,7,1.0,0.0,0.0,0.0,60.0,1.0,2.0
50861,1,1,2,6,3.0,0.0,0.0,0.0,10.0,2.0,1.0
50861,1,2,2,6,3.0,440.0,0.0,0.0,10.0,2.0,1.0
50867,1,1,2,7,1.0,0.0,0.0,0.0,40.0,1.0,1.0
50867,1,2,2,7,1.0,300.0,0.0,0.0,0.0,1.0,1.0
50868,2,1,1,7,1.0,0.0,0.0,0.0,0.0,,
50868,2,2,1,7,1.0,0.0,0.0,0.0,50.0,,
50869,1,1,1,6,2.0,0.0,0.0,0.0,20.0,2.0,2.0
50869,1,2,1,6,2.0,420.0,0.0,0.0,20.0,2.0,2.0
50875,1,1,1,9,1.0,0.0,0.0,0.0,0.0,2.0,2.0
50875,1,2,1,9,1.0,0.0,0.0,0.0,0.0,2.0,2.0
50877,2,1,2,4,3.0,,,,,1.0,1.0
50877,2,2,2,4,3.0,,,,,1.0,1.0
50883,1,1,2,9,1.0,0.0,0.0,0.0,60.0,2.0,2.0
50883,1,2,2,9,1.0,0.0,0.0,0.0,80.0,2.0,2.0
50901,1,1,1,8,1.0,0.0,0.0,0.0,0.0,2.0,2.0
50901,1,2,1,8,1.0,0.0,0.0,0.0,0.0,2.0,2.0
50918,1,1,1,9,3.0,0.0,0.0,0.0,10.0,2.0,2.0
50918,1,2,1,9,3.0,0.0,0.0,0.0,30.0,2.0,2.0
50919,2,1,1,6,1.0,390.0,0.0,0.0,0.0,2.0,2.0
50919,2,2,1,6,1.0,0.0,0.0,0.0,0.0,2.0,2.0
50926,1,1,2,7,3.0,0.0,0.0,0.0,30.0,2.0,2.0
50926,1,2,2,7,3.0,0.0,0.0,0.0,70.0,2.0,2.0
50928,1,1,1,7,2.0,0.0,0.0,0.0,0.0,2.0,1.0
50928,1,2,1,7,2.0,0.0,0.0,0.0,0.0,2.0,1.0
50930,1,1,1,7,1.0,0.0,0.0,0.0,0.0,1.0,2.0
50930,1,2,1,7,1.0,120.0,0.0,0.0,0.0,1.0,2.0
50931,1,1,1,8,3.0,0.0,0.0,0.0,60.0,2.0,2.0
50931,1,2,1,8,3.0,0.0,0.0,0.0,60.0,2.0,2.0
50953,2,1,2,4,1.0,,,,,1.0,1.0
50953,2,2,2,4,1.0,,,,,1.0,1.0
50960,1,1,1,6,1.0,470.0,0.0,0.0,10.0,2.0,2.0
50960,1,2,1,6,1.0,0.0,0.0,0.0,20.0,2.0,2.0
50961,1,1,2,4,1.0,0.0,130.0,30.0,50.0,1.0,2.0
50961,1,2,2,4,1.0,0.0,250.0,50.0,60.0,1.0,2.0
50962,1,1,1,7,3.0,0.0,0.0,0.0,20.0,2.0,1.0
50962,1,2,1,7,3.0,0.0,0.0,0.0,50.0,2.0,1.0
50966,1,1,2,7,1.0,0.0,0.0,0.0,70.0,,
50966,1,2,2,7,1.0,450.0,0.0,0.0,40.0,,
50968,1,1,1,5,1.0,0.0,0.0,0.0,0.0,1.0,1.0
50968,1,2,1,5,1.0,500.0,0.0,0.0,10.0,1.0,1.0
50973,2,1,2,3,1.0,480.0,0.0,0.0,0.0,1.0,2.0
50973,2,2,2,3,1.0,170.0,0.0,0.0,0.0,1.0,2.0
50977,1,1,2,9,1.0,0.0,0.0,0.0,50.0,1.0,2.0
50977,1,2,2,9,1.0,0.0,0.0,0.0,20.0,1.0,2.0
50982,2,1,1,8,1.0,0.0,0.0,0.0,20.0,2.0,2.0
50982,2,2,1,8,1.0,0.0,0.0,0.0,40.0,2.0,2.0
50984,2,1,1,7,3.0,0.0,0.0,0.0,10.0,2.0,2.0
50984,2,2,1,7,3.0,480.0,0.0,0.0,10.0,2.0,2.0
50986,1,1,1,7,2.0,0.0,0.0,0.0,100.0,1.0,2.0
50986,1,2,1,7,2.0,0.0,0.0,0.0,10.0,1.0,2.0
50990,2,1,2,3,1.0,0.0,0.0,0.0,0.0,1.0,2.0
50990,2,2,2,3,1.0,0.0,0.0,0.0,0.0,1.0,2.0
51001,1,1,1,8,1.0,0.0,0.0,0.0,0.0,1.0,1.0
51001,1,2,1,8,1.0,0.0,0.0,0.0,0.0,1.0,1.0
51005,1,1,2,4,1.0,,,,,1.0,2.0
51005,1,2,2,4,1.0,,,,,1.0,2.0
51006,1,1,2,8,1.0,450.0,0.0,0.0,20.0,1.0,1.0
51006,1,2,2,8,1.0,0.0,0.0,0.0,150.0,1.0,1.0
51007,2,1,2,5,1.0,240.0,0.0,0.0,20.0,1.0,2.0
51007,2,2,2,5,1.0,0.0,0.0,0.0,40.0,1.0,2.0
51017,2,1,1,7,1.0,0.0,0.0,0.0,40.0,1.0,1.0
